id,name,"description"
ENRGY01,Meditative,"you could fall asleep to it"
ENRGY02,Chill,"you could still fall asleep to it, but there's some sort of rhythm"
ENRGY03,Laid-back,"you wouldn't sleep to this, but soft rhythms/percussion"
ENRGY04,Vibin,"soft, but exciting rhythms, making you wish for more"
ENRGY05,Lively,"proper (brain) dancing song, past the warm-up"
ENRGY06,Agile,"this really makes your body/brain move"
ENRGY07,Intense,"hard and fast, almost too much in a way (in hardness/pace/scariness)"
ENRGY08,Reckless,"(almost) disturbingly intense, too much in a way"
SCHHF01,Airy,"full of high/treble frequencies (kill mid and low to hear)"
SCHHF02,LOFI,"intentionally downgraded high-frequency response"
SCHHF11,Hissy,"static high-frequency noise is present in the mix"
SCHMF01,Bright,"significant amount of mid (esp. in chorus/drop) (kill high & low to hear an unbalance)"
SCHMF02,Dark,"lack of mid (the opposite of Bright, mid doesn't add as much to the master)"
SCHLF11,Warm,"significant amount of mid-bass (esp. in chorus/drop) -- 250-500 in Audacity"
SCHLF12,Boomy,"significant amount of fast-release low-bass (esp. in chorus/drop) -- <140hz in Audacity"
SCHLF13,Rumbling,"significant amount of slow-release low-bass (constant bass) -- <140hz in Audacity"
SCHLF14,Muddy,"low frequencies dominate, (almost) overpowering the whole mix"
SCHLF15,Punchy,"uniquely powerful kick/drums"
SCHLF16,Bouncy,"fast, dynamic kicks/bass/etc. with a bit of 'boing'"
SCHLF17,Wavy,"describes bass heavy but relaxed beats with synthetisers (e.g. Max B - I'm So High)"
SCHLF18,CrunchyBass,"when the bass has mid/high extension, usual in Dubstep and DnB e.g."
SCHLF19,WalkingBass,"when the bass is changing notes a lot"
SCHLF20,DroneBass,"the bassline doesn't move much/at all, and is sustained throughout the whole track/break"
SCHLF21,LeadBass,"the bassline carries the main melodic role of the track"
SCHLD01,Dynamic,"has periods with various volume levels (dynamic range)"
SCHLD02,Sparse,"for the most part, the track is quiet, with few to no breaks"
SCHLD03,Dense,"for the most part, the track is loud, with few to no breakdowns"
SCHMR11,Vintage,"sounding not like a modern master"
SCHMR12,Trashy,"sounding like the recorders didn't put much money/time into making the record, sometimes intentionally"
SCHMR13,Crisp,"especially clean and distinguishable samples"
SCHMR14,Sweeping,"resembling a low-to-high or vice versa wave of sound, which is pronounced"
SCHMR15,Ethereal,"the song has sections with long synth notes creating a sense of deep atmosphere (without much percussion)"
SCHMR16,Pulsing,"something resembles a (heart) pulse in the track"
SCHAR11,Beats,"less melody and (can/could be) used to rap over"
SCHAR12,Melodic,"has a defined melody-oriented part"
SCHAR13,Ornate,"has a really decorated melody with many notes and high complexity"
SCHAR14,Chord-progression,"the melody is played for a long time, and it evolves gradually in notes"
SCHAR15,Arpeggio,"when the chords are played in an up-and-down cycle (this might or might not be a part of a chord-progression)"
SCHAR16,Progressive,"for the most part, the song is progressing towards a climax, which might not even be reached"
SCHAR17,Dramatic,"song has dramatic/epic sections"
SCHAR18,Anthem,"has a dramatic breakdown / build-up"
SCHAR19,Explosive,"the chorus/drop/etc. comes in a surprising and sudden way"
SCHAR20,Suspenseful,"song has intense part(s) making you feel excited because you're unsure how it will turn out (on first listening at least)"
SCHAR21,Tense,"the suspense is sustained throughout the song"
SCHAR22,Minimalistic,"doesn't have many sound elements and layers"
SCHAR23,Repetitive,"a/some section(s) are noticeably repeated with little variation throughout the song"
SCHAR24,Abstract,"has many different unique/unusual sound elements and layers"
SCHAR25,Extensive,"has many different sound elements and layers, but not in an unusual way"
SCHAR26,Broken,"when the arrangement sounds (almost) amusical"
STRIN01,Beat-intro,"the song has an intro, which contains beats/percussion"
STRIN02,Beatless-intro,"the song has an intro with no beats/percussion"
STRIN03,No-intro,"the song doesn't have an intro, it's straight to the point"
STRIN11,OnTheOne,"can be played just by hitting start and everyone goes crazy (recognisable hit)"
STROU01,Beat-outro,"the song has an outro, which contains beats/percussion"
STROU02,Beatless-outro,"the song has an outro with no beats/percussion"
STROU03,No-outro,"the song doesn't have an outro, it's just cut off suddenly"
STROU11,Fadeout,"the song doesn't actually end, more like the volume just get faded down"
STROU12,Reverb-out,"the song ends by the reverberance of the last sounds"
STRSB01,Chorus-chorus,"the song has (at least 1) 'chorus' which can be used for phrasing"
STRSB02,Drop-drop,"the song has (at least 1) 'drop' which can be used for phrasing"
STRSB03,Breaks,"has no breakdowns, the beat is almost always present, but usually varied in different phrases"
STRSB04,Uniquely-phrased,"the song's phrasing is unique"
STRSB11,Varied2nd,"the 2nd (or subsequent) chorus/drop is different to the 1st one"
STRSB12,One-piece,"can only be played wholly or aggro-cutted"
STRSB13,LongBreakdown,"the mid-song breakdown is lengthy (or at least 1 of them is)"
STRSB14,LongBuildup,"the mid-song buildup is lengthy (or at least 1 of them is)"
STRSB15,Bridge,"has a bridge section (a contrasting section before the 2nd drop/chorus)"
STRSB16,VariableBPM,"the tempo changes mid-song at least at one point"
SFXBL11,FMBass,"sounds like electric bass guitar, resembles metallic timbre"
SFXBL12,MoogyBass,"the bass you would typically hear in GFunk (created using Minimoog) - lower and more stable than TwistyBass"
SFXBL13,OctaveBass,"bass that's heard a lot in 80s Synth Pop, it's between FMBass and MoogyBass"
SFXBL14,StabbyBass,"imagine slowed-down trap with hi-hats replaced with bass... popular in Synthwave"
SFXBL15,MoroderBass,"a special Stabby x Octave bass, made with old-school synthesizers and reverb, with a funky/groovy sound characteristic"
SFXBL16,808Bass,"a very fast very low bass sound popular in modern Hip hop"
SFXBL17,PluckyBass,"a synth-like bass note that is quick and comes in bunches, often Bouncy, acts also as LEAD"
SFXBL18,TwistyBass,"PluckyBass, but has resonance at the end, it's like the Acid sound, but for bass"
SFXBL19,SubBass,"(usually long sustained) constant, very deep and clean (sinus wave) bass sound -- the <70Hz range is prominent in the song"
SFXBL20,ReesyBass,"long sustained sawtooth bass, Synthier than GrindyBass"
SFXBL21,WobbleBass,"aggressively frequency cut (and potentially resonated) sub bass, common in Dubstep, DNB, etc."
SFXBL22,GlitchBass,"crushed/8-bit/distorted (sub)bass, common in Glitch Hop, IBM, Dubstep, etc."
SFXBL23,GrindyBass,"the heavily distorted bass 'pipe' sound, common in DNB, Dubstep, etc."
SFXBL24,PortamentoBass,"similar to the previous basses, but glides up and down (booing continuously - not in notes, unlike WalkingBass)"
SFXBL25,RollingBass,"similar to the previous basses, but continuously moves back and forth in frequency/pitch (like a spring), also called as 'Roller'"
SFXBL26,DubBass,"sparse but intense bass punches, usually with a lot of reverb"
SFXBL27,BrassyBass,"bass, which sounds like it's made with a tuned and/or electronically modified brass instrument (e.g. trumpet)"
SFXFX11,Overdriven,"sounds overdriven, but doesn't crack or clip"
SFXFX12,Distorted,"sounds overdriven, sometimes even cracking and clipping"
SFXFX13,Glitchy,"intended slips in the record"
SFXFX14,Scratchy,"song contains Vinyl scratching"
SFXFX15,Cutty,"song has abrupt volume cuts (e.g. Snow Strippers - Depriving You)"
SFXFX16,BeatRoll,"song has parts produced where it simulates the Roll DJ effect (e.g. Snow Strippers - Lacerate)"
SFXFX17,Buzzy,"a 'Grindy' mid/high sound"
SFXFX18,Acid,"the widely popular electric 'boing' sound"
SFXFX19,Tremolo,"a type of short echo added to instruments, mostly guitars, see: https://youtu.be/ww1EgV9q-0U?si=Wr3ELmxHKFGBzJnl&t=189"
SFXFX20,Vibrato,"similar to Tremolo, but instead of the volume, the pitch is modulated, see: https://youtu.be/YKtfN4ZzoLY?si=o_zBjeQty1_UXQKN&t=63"
SFXFX21,Reverb,"sounds like it's in a large room"
SFXFX22,Spacious,"naturally provides a big sound stage, 'feels wide and 3D', with or without reverb"
SFXFX23,Detuned,"sounds like some instruments are (intentionally) out of tune, common in Grunge, Goth, etc. styles"
SFXFX24,Pan,"utilising the left and right channel in a distinguished way"
SFXFX25,Chipmunk,"has an 8bit, game machine, etc. sound characteristic"
SFXFX26,Dry,"without much sounds effects / natural (e.g. acoustic)"
SCOKB11,Pads,"has noticable ambience creating space fillers, usually slowly fading-in and out with long sustain"
SCOKB12,Synth,"song has a noticable electronic synthesisers"
SCOKB13,Piano,"sounds like piano"
SCOKB14,Organ,"sounds like organ (big 'piano' in temples e.g.)"
SCOBL11,Whistly,"sounds like whistling"
SCOBL12,Fluty,"sounds like flute, oboe, etc. (woodwinds)"
SCOBL13,Brassy,"sounds like trumpet, saxophone, etc. (made of brass)"
SCOBL14,Horns,"sounds like horn (e.g. siren), non-brass"
SCOST11,Stringy,"sounds like violin, cello, etc. (but not guitar!)"
SCOST12,Harpy,"sounds like harps or guitars played gently and harmonically"
SCOST13,Banjo,"sounds like a banjo (shorter and out-of-tune decay comp. to guitar, often in country music)"
SCOST14,AcousticGuitar,"sounds like acoustic guitar (much higher and longer resonance comp. to banjo)"
SCOST15,ElectricGuitar,"sounds like electric guitar"
SCOST16,BassGuitar,"sounds like bass guitar"
SCOST17,GuitarSolo,"song has a big guitar solo"
SCOPC01,Percussion,"song has percussion"
SCOPC02,Semi-percussion,"song has some percussion, but it's not much"
SCOPC03,No-percussion,"song has no percussion (e.g. only synths and bass)"
SCOPC11,Drummy,"sounds like ACOUSTIC drums (not JUST electronic, in can be in Electronic Music, like Jungle)"
SCOPC12,Kicky,"sounds like drum kicks (either electronic or acoustic)"
SCOPC13,DoublePedal,"sounds like a drummer is using both of their legs to kick drums"
SCOPC14,Snary,"sounds like drum snares (either electronic or acoustic)"
SCOPC15,Clappy,"sounds like clapping (either electronic or acoustic)"
SCOPC16,Snappy,"sounds like snapping fingers"
SCOPC17,Hi-hatty,"sounds like drum hi-hats (either electronic or acoustic)"
SCOPC18,Congas,"sounds like a 'tribal' hand hit drum"
SCOPC19,Cowbell,"sounds like a metallic hi-hat/snare with a bell-like decay"
SCOPC20,Plucky,"sounds like a xylophone"
SCOSM11,Orchestra,"many acoustic instruments played together"
SCOSM12,Tolling,"sounds like huge bells or other deep clanging big instruments"
SCOSM13,Tinkling,"sounds like (little) bells or similar ringing instruments"
SCOSM14,Whooshy,"sounds like a 'woosh' windy sound"
SCOSM15,Maracas,"Rumbatok in Hungarian"
SCOSM16,Tambourine,"another shake instrument, many jingle like sounds together (accompanied hand snare sometimes)"
SCOSM17,Accordion,"Harmonika in Hungarian"
SCOSM18,JawHarp,"Dorong in Hungarian"
SVOPR01,Instrumental,"song has no vocals"
SVOPR02,Semi-instrumental,"song has negligible amount of vocals"
SVOPR03,Vox,"song has vocals"
SVOPR04,Acapella,"only vocals"
SVOMC01,SoloVox,"sung by one solo vocalist (for the most part)"
SVOMC02,Feat,"sung by multiple singers, but not interchangeably (for the most part)"
SVOMC11,Duet+,"contains at least one section where two (or more) singers sing interchangeably"
SVOMC12,Choir,"contains at least one section where many people sing together"
SVOMC13,Canon,"contains at least one section where vocals are played at the same time with different amounts of delay"
SVOFX11,Layered,"multiple vocals are layered together (noticeably at some point in the song)"
SVOFX12,Auto-tuney,"the vocals are noticeably pitch-corrected"
SVOFX13,Choppy,"the vocals are digitally cut and maybe even reordered"
SVOFX14,Transed,"when the vocal is stopped at regular intervals, making it stuttery (example: B3000-badthiings)"
SVOFX15,Vocoded,"vocals are distorted in a way they sound machine/robot/electro like (e.g. Daft Punk)"
SVOFX16,Pristine,"vocals are natural sounding, as if they weren't digitally altered by effects"
SVOPC11,Masculine,"male (sounding) vocals"
SVOPC12,Feminine,"female (sounding) vocals"
SVOPC13,Pitched-up,"altered vocals by pitching up"
SVOPC14,Pitched-down,"altered vocals by pitching down"
SVOPC15,Fiery,"incredibly strong voice that empowers the whole song (example: Adele - Hello)"
SVOPC16,Silky,"high/medium-pitch, esp. GENTLE, SOFT to the ears"
SVOPC17,High-pitched,"especially high vocals (naturally or pitch shift)"
SVOPC18,Soaring,"high-pitch rough, common in Metal bands"
SVOPC19,Silvery,"high-pitch smooth"
SVOPC20,Raspy,"medium-pitch rough"
SVOPC21,Mellow,"medium-pitch smooth"
SVOPC22,Gravelly,"deep rough, 'smoker's voice'"
SVOPC23,Velvety,"deep smooth"
SVOPF11,Muted,"vocals are quiet, almost hard to hear"
SVOPF12,Whispery,"like whispering"
SVOPF13,Hummy,"vocals contain humming"
SVOPF14,Scat,"song contains vocals, which try to imitate and serve as instruments (e.g. dab-ba-du-du-du-ba)"
SVOPF15,Mumbly,"usually in modern hip-hop, instead of rapping"
SVOPF16,Spoken,"regular speaking"
SVOPF17,Rappy,"rap vocals"
SVOPF18,Catchy,"easily remembered and recalled"
SVOPF19,Chanty,"vocals are like a chant (e.g. Run DMC)"
SVOPF20,Lullaby,"quiet, gentle singing"
SVOPF21,Singy,"normal, 'easily consumed', nice singing"
SVOPF22,Lofty,"elated, concentrated singing"
SVOPF23,Edgy,"singer makes drastic changes in intensity/pitch, but doesn't shout or scream (much)"
SVOPF24,Shouty,"shouting or otherwise aggressive vocals"
SVOPF25,Screechy,"high-pitched shouting that sounds like screaming (e.g. Alice Glass)"
SVOPF26,Screamy,"song contains screams"
SVOPF27,Wobbly,"weak and constantly varying in pitch, usually because of emotions"
SVOPF28,Undecipherable,"song contains vocals, which are impossible to decipher"
SVOEX11,Lyrical,"song has meaningful/creative/witty lyrics"
SVOEX12,Poetic,"song has lyrics that resemble poetry instead of pop music"
SVOEX13,Philosophical,"the lyrics are thought-provoking and deal with complex abstract topics"
SVOEX14,Provocative,"the lyrics deliberately evoke strong reactions from the listener"
SVOEX15,Rhapsodic,"the lyrics contain unrestrained emotions from the singer"
SVOEX16,Elegiac,"the tone of the lyrics is resentful/melancholic/sorrowful/etc."
SVOEX17,Sentimental,"the tone of the lyrics is human and emotionally intimate, can overlap with  'Elegiac', 'Sentimental', etc."
SVOEX18,Confessional,"expresses feelings not expressed before in front of somebody"
SVOEX19,Imagistic,"the lyrics evoke vivid images (positives or negatives), either directly or indirectly (using metaphors, allusions, etc.)"
SVOEX20,Symbolic,"the lyrics make use of symbols, representing deeper meaning beyond what's literal"
SVOEX21,Enigmatic,"the meaning of the lyrics cannot be fully understood"
SVOEX22,Free-form,"the lyrics are unstructured"
SVOEX23,Ironic,"the opposite thing happens of what's expected"
SVOEX24,Sarcastic,"expresses the opposite of what it means"
SVOEX25,Satirical,"makes fun of sb/sth by exaggerating their negatives"
SVOEX26,Dissy,"directly making fun of sb/sth"
SVOEX27,Cynical,"the tone is sceptical/distrustful, often with a tone of sarcasm and pessimism"
SVOEX28,Biographical,"the lyrics are about somebody's life"
SVOEX29,Narrative,"the lyrics tell a story"
SVOEX30,Retrospective,"the lyrics recall a past experience"
SVOEX31,Dialogue,"the lyrics contain dialogues"
SVOWC01,Non-explicit,"does not contain any swear words"
SVOWC02,Explicit,"contains swear words and/or adult themes (not suited for children), but within 'good taste'"
SVOWC03,Vulgar,"has a high concentration of profanity, not within 'good taste'"
SVOWC11,Outrageous,"incredibly profane and nefarious lyrics"
SVOWC12,Morbid,"the lyrics are too interested in unpleasant subjects, especially death"
SVOWC13,Humorous,"the lyrics can make you laugh"
SVOWC14,WordPlay,"the lyrics use witty wordplays"
SVIMC11,Swingy,"gives Swing vibes (easy flowing instrumental rhythms, short and long notes interchangeably in the bar)"
SVIMC12,Groovy,"danceable song with syncopation (some drum elements off-grid INSIDE EACH BAR, also often sth extra at 4th and/or 8th note)"
SVIMC13,Funky,"groovy, but snares are off-beat and intricately placed"
SVIMC14,Jazzy,"groovy, packed with instruments, but chill and slower tempo"
SVIMC15,Techy,"gives mechanical/technology/synthetic vibes"
SVIMC16,Housey,"has classic House synths/pianos"
SVIMC17,Trancey,"has elements usual in Trance music (e.g. hypnotic synths)"
SVIMC18,Grungy,"sounds distortion-filled, detuned, riff-based (with possibly rough vocals)"
SVIMC19,Punky,"fits 'Punk' culture (rebelling, rough, guitars etc.)"
SVIMC20,Emoy,"fits 'Emo' culture (detachment, introspective emotion expression, etc.)"
SVIMC21,Gothy,"fits 'Goth' culture (dark colours, morbidity, haunting vibes, etc.)"
SVIMC22,Hippiey,"fits 'Hippie' culture (colourful style, trippy, open-mindedness, spiritual liberty, etc.)"
SVIMC23,Gangsta,"gives gang/criminal vibes"
SVIMC24,Afro,"gives the vibes of the African(-American) culture"
SVIMC25,Arabic,"gives the vibes of the Arabic culture"
SVIMC26,Asian,"gives the vibes of Asian cultures (e.g. Korean, Japanese, Chinese, etc.)"
SVIMC27,Latin,"gives the vibes of Latin cultures (e.g. Spanish, Mexican, etc.)"
SVIMC28,Tropical,"gives tropical vibes"
SVIIM01,Foreground,"the song is too distracting for doing activities other than active dancing / music-listening"
SVIIM02,Background-music,"the song isn't ambient, but it doesn't attract deep concentration, so it can be used as BG music for any general activity"
SVIIM03,Ambience,"sounds as if it could be the background noise to some non-dancing activity"
SVIIM11,Atmospheric,"the music itself contains background noises as if it's played in an environment"
SVIIM12,Fun,"while having fun in a social/physical activity, this song could fit the background"
SVIIM13,Pure,"music for its own sake, no explicit narrative/story/etc. tried to be conveyed"
SVIIM14,Expressive,"effectively conveying a feeling/topic/theme"
SVIIM15,Impressionist,"the song expresses something that's in the moment, and you can immerse yourself in what's captured"
SVIIM16,Reflective,"in reaction to the music you or the singer contemplate/describe their own (past) actions/feelings/etc."
SVIIM17,Theatrical,"music which could fit scenes in films or theatrical performances"
SVIIM18,Artistic,"the song can be considered (fine) art"
SVIIM19,Stimulating,"providing great sensory pleasure"
SVIIM20,Trippy,"provides an audio-visionary experience as if you were under the influence of drugs"
SVIIM21,Hypnotic,"if you concentrate to it, it can make your brain go funny"
SVIIM22,Euphoric,"something about the song is euphoric: it gives a mental orgasm like experience"
SVIIM23,Aesthetic,"makes you contemplate something that's visually pleasing"
SVIIM24,Idyllic,"makes you contemplate a perfect or unrealistically beautiful scene or situation"
SVIIM25,Dissociation,"if you concentrate to it, you get transported to another world, and you forget a bit about your own reality"
SVIIM26,Dreamy,"gives a dreamlike listening experience"
SVIIM27,FeverDream,"gives an unreal, bizarre dreamlike listening experience, which might be bad or delirious"
SVIIM28,Spiritual,"resonates deep feelings/beliefs, often in supernatural/religious context"
SVIIM29,Lush,"gives flora/greenhouse/jungle/etc. vibes"
SVIIM30,Fluid,"gives aquatic/flowing/waving/etc. vibes"
SVIIM31,Barren,"gives desert/empty warehouse/ghost town/etc. vibes"
SVIIM32,Vivid,"gives colourful/rich/positive/etc. vibes"
SVIEM01,Sterile,"doesn't convey substantial emotions"
SVIEM02,Emotional,"conveys substantial emotions"
SVIEM03,Emotionally-heavy,"heavily emotional"
SVIEM11,Happy,"based on the sound and overall vibe, it's happy"
SVIEM12,Sad,"based on the sound and overall vibe, it's sad"
SVIEM13,Sombre,"based on the sound and overall vibe, it's a bit downcast and muted, but not outright sad"
SVIEM14,Ambivalent,"based on the sound and overall vibe, it's both happy and sad"
SVIEM15,Gloomy,"based on the sound and overall vibe, it's gloomy (darker than sadder)"
SVIEM16,Bleak,"based on the sound and overall vibe, it's bleak (dark, dull, NOT SAD but neutral)"
SVIEM17,Eerie,"based on the sound and overall vibe, it's haunting (scarier & darker than sadder)"
SVIEM18,Scary,"based on the sound and overall vibe, it's scary (just scary, NOT SAD but neutral)"
SVIEM19,Spooky,"based on the sound and overall vibe, it's spooky (imitating scariness in a fun way)"
SVIEM20,Uncanny,"makes you feel like something isn't quite right in a scary way"
SVIEM21,Ominous,"makes you feel like as if something bad is about to happen (either through lyrics or the instrumental)"
SVIIP01,Introspective,"makes you feel introverted emotions mainly"
SVIIP02,Extrospective,"makes you feel extroverted emotions mainly"
SVIIP11,Mysterious,"something about the song is mysterious/unknown/makes you wonder/etc."
SVIIP12,Magical,"something about the song makes you think of magic"
SVIIP13,Surreal,"something about the song breaks the feeling of reality in a subtle way"
SVIIP14,Bizarre,"something about the song throws you off completely, it's so unexpectedly weird"
SVIIP15,Weird,"something about the song is weird, without being funny/silly/etc., just straight weird"
SVIIP16,Silly,"something about the song is silly: no longer goofy, just overly eccentric/foolish"
SVIIP17,Goofy,"something about the song is goofy/harmlessly foolish/eccentric/quirky/etc."
SVIIP18,Cozy,"something about the song is comforting/gives you warmth"
SVIIP19,Cute,"something about the song is cute/wholesome/etc."
SVIIP20,Playful,"something about the song is playful/playingly enthusiastic/etc."
SVIIP21,Cocky,"something about the song is self-confident in a bold/cheeky way"
SVIIP22,Exotic,"something about the song is exotic: different in a fresh and unique way"
SVIIP23,Elegant,"something about the song is elegant/subtle/high class/etc."
SVIIP24,Sophisticated,"it appears to you that this song would be listened to by sophisticated/rich/high class/etc. people"
SVIIP25,Underground,"it appears to you that this song would be enjoyed by a specific subgroup of people only"
SVIIP26,Niche,"it appears to you that this song would be enjoyed by very few people"
SVIIP27,Commercial,"it appears to you that this song was produced to appeal to as much people as possible"
SVIIP28,Hit,"it appears to you that this song would be listened to by masses (a hit, or in your opinion it was meant to be one)"
THMSP11,Society,"a collective of people with shared customs, laws, and organizations"
THMSP12,Politics,"the activities and strategies used to gain power or govern a group/society"
THMSP13,Freedom,"the ability to act, think, or speak without external constraints"
THMSP14,History,"the record of past events and how they shape the present"
THMSP15,Activism,"taking action to promote or resist change, often to support a cause"
THMSP16,Rebelling,"opposing authority or norms, often with the intent to change them"
THMSP17,Bravery,"acting courageously despite fear or danger"
THMSP18,Bravado,"displaying confidence or boldness, often exaggerated or superficial"
THMSP19,YOLO,"living recklessly or spontaneously because life is short"
THMSP20,Heroism,"selfless courage in the face of danger for the greater good"
THMSP21,War,"violent conflict between groups or nations, often for power or resources"
THMSP22,Imperialism,"extending power over other regions through force or influence"
THMPF11,Power,"the ability to control, influence, or command others"
THMPF12,Deceit,"intentionally misleading someone for personal gain"
THMPF13,Conspiracy,"a secret plan by a group to achieve a deceptive or illegal goal"
THMPF14,Corruption,"using power for personal benefit, betraying trust"
THMPF15,Oppression,"prolonged and unjust control over others"
THMPF16,Fame,"widespread recognition, often admired or envied"
THMPF17,Beauty,"qualities that please the senses or inspire admiration"
THMPF18,Money,"a medium of exchange, often a source of power and stress"
THMPF19,Luxury,"indulgence in costly, comfortable, or pleasurable things"
THMPF20,Flexing,"showing off material possessions or accomplishments"
THMPS11,Passion,"intense enthusiasm or love for something"
THMPS12,Ambition,"striving to achieve goals or success with determination"
THMPS13,Motivation,"the internal drive to pursue goals or take action"
THMPS14,PersonalDev,"improving oneself mentally, emotionally, or physically"
THMPS15,Resilience,"the ability to recover quickly from setbacks or difficulties"
THMPS16,Endurance,"the ability to keep doing something difficult or unpleasant for a long time"
THMPS17,Fulfilment,"feeling satisfied and complete after achieving something meaningful"
THMPS18,Career,"a professional journey often tied to one's purpose and livelihood"
THMPS19,Knowledge,"information and understanding gained through learning"
THMPS20,Wisdom,"applying knowledge and experience with insight and good judgment"
THMPS21,Education,"the process of gaining knowledge, skills, and understanding"
THMPS22,SchoolLife,"the experiences, lessons, and social aspects of attending school"
THMPS23,Mischief,"playful or harmless troublemaking, often for fun"
THMPS24,PeerPressure,"the influence of peers to conform to their expectations or behaviours"
THMPS25,Nonconformity,"refusing to follow societal norms or expectations"
THMCS11,Competition,"striving to outperform others in pursuit of a goal"
THMCS12,Conflict,"a serious disagreement or clash of interests"
THMCS13,Argument,"a verbal exchange of opposing views"
THMCS14,Confrontation,"direct opposition or challenge, often aggressive"
THMCS15,Triumph,"achieving victory or success after effort or struggle"
THMCS16,Surrender,"giving up or yielding to a stronger force or opponent"
THMCS17,Failure,"not achieving a desired goal, often accompanied by disappointment"
THMCS18,Consolation,"something that makes someone who is sad or disappointed feel better"
THMCS19,Sports,"physical contests for recreation, competition, or teamwork"
THMSI11,Deprivation,"lacking essential needs or comforts"
THMSI12,Poverty,"living with insufficient resources to meet basic needs"
THMSI13,Tragedy,"a deeply distressing event, often causing loss or suffering"
THMSI14,Crime,"actions that break the law and harm society or individuals"
THMSI15,Violence,"using physical force to harm or intimidate others"
THMSI16,Discrimination,"unfair treatment based on identity or characteristics"
THMSI17,Inequality,"an imbalance in rights, opportunities, or resources"
THMSI18,Intoxication,"impaired judgment or behaviour due to substances"
THMSI19,Addiction,"dependence on a substance or behaviour, despite negative consequences"
THMSI20,Alcohol,"a substance consumed for relaxation or escape, often overused"
THMSI21,Drugs,"substances that alter mental or physical states, with varying effects"
THMDS11,Abstinence,"deliberately avoiding certain pleasures or indulgences"
THMDS12,Overcoming,"successfully defeating challenges or obstacles"
THMDS13,Sacrifice,"giving up something valuable for a greater purpose"
THMDS14,Religion,"belief systems centred around spirituality and moral values"
THMDS15,Prayer,"communicating with a higher power, often for guidance or gratitude"
THMDS16,Monasticism,"teaching wisdom (and a way of life focused on simplicity, spirituality, and discipline)"
THMDS17,Mysticism,"seeking a deep spiritual connection beyond rational understanding"
THMDS18,Traditionalism,"valuing long-standing customs and practices over change"
THMDS19,Nationalism,"devotion to one's country, often placing it above others"
THMDS20,Leadership,"guiding and inspiring others towards a shared goal"
THMPE11,Escapism,"avoiding reality by indulging in fantasies or distractions"
THMPE12,Inspiration,"being mentally stimulated to create or act"
THMPE13,Hedonism,"prioritizing pleasure and avoiding pain as life's primary goal"
THMPE14,Decadence,"excessive indulgence in luxury, often leading to moral decline"
THMPE15,Misanthropy,"disliking or mistrusting humanity"
THMPE16,Nihilism,"believing life lacks purpose, meaning, or value"
THMPE17,Stoicism,"enduring hardship calmly, focusing on reason and self-control"
THMPE18,WorldView,"the lens through which one interprets and understands life"
THMPE19,Disillusionment,"frustratingly realizing something isn't what you once believed"
THMPE20,Redemption,"seeking or achieving forgiveness, often after wrongdoing"
THMUE11,Cosmopolitan,"embracing a diverse and global perspective"
THMUE12,CityLife,"the fast-paced lifestyle of urban environments"
THMUE13,ConcreteJungle,"a metaphor for the bustling, chaotic structure of cities"
THMUE14,Consumerism,"valuing the acquisition of goods, often excessively"
THMUE15,Environmentalism,"advocating for the preservation of nature and sustainability"
THMSC11,Science,"the pursuit of knowledge about the natural world through evidence"
THMSC12,Humankind,"the collective human species, often reflecting shared struggles"
THMSC13,Progressivism,"advocating for change and advancement in society"
THMSC14,Sexuality,"exploring and expressing one's sexual identity and preferences"
THMSC15,Gender,"societal roles and identities related to being male, female, or beyond"
THMSC16,LGBTQ,"a spectrum of identities encompassing sexual and gender diversity"
THMSC17,Feminism,"advocating for equality between genders, especially for women"
